sample_id,rec_no,subject_pos,start_time,end_time,Settle,Legs crossed,Groom,Hand-mouth,Fold arms,Leg movement,Scratch,Gesture,Hand-face,Adjusting clothing,Fumble,Shrug,Stretching,Smearing hands
34663,24,3,299533.3333,301666.6667,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15218,14,3,903266.6667,905400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,7,3,205666.6667,207800,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21749,17,3,807266.6667,809400,0,0,0,0,0,0,0,1,0,0,0,1,0,0
960,7,3,881933.3333,884066.6667,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34570,24,3,101133.3333,103266.6667,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22535,18,2,145933.3333,148066.6667,0,1,0,0,0,0,0,1,0,0,1,0,0,0
22544,18,2,165133.3333,167266.6667,0,1,0,0,0,0,0,0,0,1,1,0,0,0
35965,25,1,739000,741133.3333,0,1,0,0,0,0,1,0,0,0,0,0,0,1
30882,22,3,416866.6667,419000,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28821,21,3,696333.3333,698466.6667,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31912,23,2,276066.6667,278200,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11186,12,3,485133.3333,487266.6667,0,1,0,0,1,0,0,0,0,0,0,0,0,0
27584,20,4,395533.3333,397666.6667,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18789,16,2,337933.3333,340066.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27253,20,3,858466.6667,860600,0,1,0,0,0,0,0,1,0,0,0,0,0,0
21284,17,2,984333.3333,986466.6667,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29669,22,1,167266.6667,169400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,7,3,84066.66667,86200,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9172,11,2,864866.6667,867000,0,1,0,0,0,0,0,0,0,1,1,0,0,0
11140,12,3,387000,389133.3333,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10970,12,3,24333.33333,26466.66667,0,1,1,0,0,0,0,0,0,0,0,0,0,1
18511,16,1,913933.3333,916066.6667,0,1,0,0,0,0,0,1,1,0,0,0,0,0
23100,18,3,182200,184333.3333,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26615,20,2,666466.6667,668600,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20270,16,4,1159266.667,1161400,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19416,16,3,506466.6667,508600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18557,16,1,1012066.667,1014200,0,1,0,0,0,0,0,1,0,0,0,1,0,0
87,7,2,188600,190733.3333,0,1,0,0,0,1,0,0,0,0,1,0,0,0
9704,11,3,830733.3333,832866.6667,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10916,12,2,1078200,1080333.333,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21387,17,3,35000,37133.33333,1,0,0,0,0,1,0,0,0,0,0,0,0,0
36930,25,3,459533.3333,461666.6667,0,0,0,0,1,0,0,0,0,0,0,0,0,0
